VIVA02;Cantates et airs italiens;VIVALDI;0
WAGN01;Les maitres chanteurs de Nuremberg;WAGNER Richard;0
WAGN02;La walkirie;WAGNER;0
ALLI01;hand me down my moonshine;ALLISON Luther;2
ARMS01;Performances 1923 1931;ARMSTRONG Louis;2
ARMS02;The great reunion;ARMSTRONG ELLINGTON;2
BAKE01;Chet;BAKER Chet;2
BAKE02;Chet in Paris Vol 1;BAKER Chet;2
BAKE03;Chet in Paris Vol 4;BAKER Chet;2
BASI01;E=MC2;BASIE Count;2
BASI02;April in Paris;BASIE Count;2
BASI03;Satch and Josh;BASIE PETERSON;2
BECH01;Portraits;BECHET Sydney;2
BRID01;Keeping trdition;BRIDGEWATER Dee Dee;2
BURR01;Guitar forms;BURREL Kenny;2
CANN01;Know what I mean;CANNONBAL Aderly;2
CHAR02;The right time;CHARLES Ray;2
CHAR03;My world;CHARLES Ray;2
COLT01;Bye bye blackbird;COLTRANE John;2
CONN01;France, I wish you love;CONNICK Jr Harry;2
DAVI01;Kind of blue;DAVIS Miles;2
DAVI02;Ascenseur pour l'échafaud;DAVIS Miles;2
DAVI03;Tutu;DAVIS Miles;2
ELLI01;Featuring Paul Gonsalves;ELLINGTON Duke;2
EVAN01;Alone 'again);EVANS Bill;2
EVAN02;At the village Vanguard;EVANS Bill Trio;2
EVAN03;Intermodulation;EVANS HALL;2
FITZ01;These are the blues;FITZGERALD Ella;2
FITZ02;Ella and Louis;FITZGERALD Ella;2
FLAN01;Super session;FLANAGAN,RED,MITCHEL;2
GERS01;Rhapsody in blue/ An american in Paris;GERSHWIN Georges;2
GERS02;Porgy and Bess;GERSHWIN Georges;2
GETZ01;Featuring Antonio Carlo Jobim;GETZ, GILBERTO;2
GETZ02;For musician only;GETZ, GILLEPSIE, STITT;2
GIAN01;Giantz of jazz play Brassens;GIANTS of Jazz;2
GOLD01;Travelin' shoes;GOLDEN GATE QUARTET;2
GORD01;Blows and cool;GORDON Dexter;2
GRAP01;Grappeli in Tokyo;GRAPPELI Stephane;2
GUIT01;Blue Guitar Album;Various Artist;2
GUIT02;Album;GUITAR BLUE;2
HAMP01;Made in Japan;HAMPTON Lionel;2
HEND02;Me and my shadow;HENDRICKS Michele;2
HOLI01;Billie's best;HOLIDAY Billie;2
HOOK01;It serve you right to suffer;HOOKER John Lee;2
JACK03;The story;JACKSON Mahalia;2
JARR01;Facing you;JARRETT Keith;2
